Employee_ID,Employee_Name,Department,Claim_Type,Claim_Amount,Approved_Amount,Claim_Status,Claim_Date,Approval_Date,Payment_Status,Payment_Method,Vendor
1065,Amit Agarwal,Marketing,Transport,18873,0,Rejected,2024-07-18,2024-07-21,Unpaid,Bank Transfer,Max Healthcare
1066,Arjun Gupta,HR,Transport,10789,0,Pending,2023-10-25,2023-10-31,Unpaid,Bank Transfer,Fortis
1067,Arjun Kapoor,HR,Wellness,823,0,Pending,2023-05-05,2023-05-15,Paid,Payroll,Fortis
1068,Ankit Khanna,Operations,Wellness,10941,0,Pending,2023-07-23,2023-07-29,Paid,Bank Transfer,Apollo Hospital
1069,Ankit Kapoor,Marketing,Pharmacy,2067,1523,Approved,2023-10-08,2023-10-09,Paid,Bank Transfer,Apollo Hospital
1070,Rohit Bansal,Operations,Transport,3662,0,Rejected,2024-04-08,2024-04-17,Paid,Bank Transfer,Apollo Hospital
1071,Ankit Kapoor,IT,Pharmacy,13330,13326,Approved,2023-09-06,2023-09-10,Unpaid,Payroll,Apollo Hospital
1072,Karan Sharma,Sales,Medical,14282,0,Pending,2024-05-13,2024-05-15,Paid,Bank Transfer,Fortis
1073,Priya Sharma,Marketing,Dental,8581,8392,Approved,2024-06-15,2024-06-20,Paid,Payroll,Max Healthcare
1074,Priya Mehta,Finance,Dental,6468,0,Rejected,2023-03-05,2023-03-08,Unpaid,Payroll,Fortis
1075,Priya Jain,Marketing,Pharmacy,16171,15821,Approved,2024-01-07,2024-01-16,Paid,Payroll,Max Healthcare
1076,Rohit Jain,Operations,Wellness,6385,5981,Approved,2023-10-08,2023-10-12,Paid,Payroll,Local Clinic
1077,Rohit Verma,IT,Medical,8380,0,Pending,2023-10-24,2023-10-31,Paid,Payroll,Wellness Center
1078,Arjun Sharma,HR,Wellness,14379,13780,Approved,2024-07-07,2024-07-13,Paid,Payroll,Wellness Center
1079,Pooja Mehta,Operations,Pharmacy,18398,17686,Approved,2023-11-13,2023-11-23,Unpaid,Payroll,Fortis
1080,Pooja Sharma,IT,Dental,12922,0,Rejected,2023-05-07,2023-05-13,Paid,Bank Transfer,Apollo Hospital
1081,Rohit Malhotra,HR,Medical,4504,0,Rejected,2023-02-05,2023-02-10,Unpaid,Payroll,Local Clinic
1082,Rahul Kapoor,Finance,Transport,3239,0,Rejected,2024-01-25,2024-02-03,Paid,Payroll,Local Clinic
1083,Rohit Malhotra,Sales,Medical,3680,0,Pending,2023-01-04,2023-01-05,Paid,Bank Transfer,Fortis
1084,Arjun Agarwal,Sales,Dental,2783,0,Rejected,2023-04-13,2023-04-20,Unpaid,Payroll,Apollo Hospital
1085,Ankit Kapoor,Sales,Pharmacy,3180,2568,Approved,2024-04-08,2024-04-15,Unpaid,Payroll,Fortis
1086,Rahul Jain,Sales,Wellness,5744,4903,Approved,2024-06-05,2024-06-10,Unpaid,Bank Transfer,Wellness Center
1087,Karan Bansal,Marketing,Wellness,17619,0,Rejected,2024-05-25,2024-05-26,Unpaid,Bank Transfer,Wellness Center
1088,Rahul Bansal,Marketing,Wellness,3030,0,Pending,2024-02-22,2024-02-25,Unpaid,Payroll,Local Clinic
1089,Sneha Sharma,Marketing,Wellness,2358,2009,Approved,2024-03-31,2024-04-03,Paid,Payroll,Fortis
1090,Rohit Verma,Finance,Transport,922,0,Rejected,2023-05-07,2023-05-15,Unpaid,Bank Transfer,Local Clinic
1091,Ankit Khanna,HR,Dental,8742,7975,Approved,2023-04-30,2023-05-08,Paid,Payroll,Local Clinic
1092,Rohit Jain,Sales,Pharmacy,11202,0,Pending,2023-08-27,2023-09-04,Unpaid,Payroll,Apollo Hospital
1093,Sneha Bansal,Operations,Transport,2435,0,Pending,2023-10-10,2023-10-17,Unpaid,Payroll,Local Clinic
1094,Neha Gupta,Marketing,Dental,14331,0,Rejected,2023-05-18,2023-05-23,Unpaid,Bank Transfer,Wellness Center
1095,Arjun Khanna,HR,Medical,10600,0,Pending,2024-04-01,2024-04-04,Unpaid,Bank Transfer,Max Healthcare
1096,Sneha Kapoor,IT,Wellness,3676,0,Rejected,2024-03-20,2024-03-26,Unpaid,Bank Transfer,Wellness Center
1097,Pooja Khanna,IT,Medical,12000,0,Rejected,2023-03-19,2023-03-27,Paid,Payroll,Fortis
1098,Priya Khanna,IT,Dental,11939,0,Pending,2023-11-22,2023-11-25,Paid,Payroll,Wellness Center
1099,Neha Verma,Marketing,Wellness,733,0,Rejected,2023-11-26,2023-12-04,Unpaid,Payroll,Max Healthcare
1100,Priya Kapoor,IT,Transport,16342,0,Rejected,2023-02-28,2023-03-09,Unpaid,Payroll,Wellness Center
1101,Rohit Gupta,Finance,Transport,9784,0,Pending,2024-06-11,2024-06-20,Paid,Bank Transfer,Local Clinic
1102,Priya Gupta,Sales,Dental,512,0,Pending,2023-04-18,2023-04-25,Paid,Payroll,Max Healthcare
1103,Sneha Kapoor,Sales,Wellness,682,0,Rejected,2023-09-11,2023-09-21,Paid,Bank Transfer,Apollo Hospital
1104,Amit Sharma,HR,Medical,18644,0,Pending,2023-10-08,2023-10-12,Paid,Payroll,Fortis
1105,Sneha Jain,HR,Pharmacy,5064,0,Rejected,2023-12-04,2023-12-14,Unpaid,Bank Transfer,Apollo Hospital
1106,Arjun Verma,Operations,Medical,5104,0,Pending,2023-10-12,2023-10-15,Unpaid,Payroll,Local Clinic
1107,Rahul Malhotra,Operations,Medical,1405,889,Approved,2023-01-14,2023-01-22,Paid,Bank Transfer,Wellness Center
1108,Sneha Verma,HR,Medical,11263,10601,Approved,2023-07-24,2023-07-30,Unpaid,Bank Transfer,Local Clinic
1109,Karan Gupta,HR,Dental,13001,12990,Approved,2024-08-17,2024-08-20,Paid,Payroll,Wellness Center
1110,Ankit Gupta,Marketing,Pharmacy,10221,0,Rejected,2023-05-12,2023-05-21,Unpaid,Payroll,Wellness Center
1111,Rahul Agarwal,Sales,Medical,16773,0,Pending,2023-01-29,2023-02-05,Paid,Bank Transfer,Local Clinic
1112,Neha Agarwal,Operations,Transport,11889,10913,Approved,2024-03-01,2024-03-08,Unpaid,Payroll,Wellness Center
1113,Neha Malhotra,HR,Medical,8351,0,Pending,2023-02-16,2023-02-23,Paid,Bank Transfer,Fortis
1114,Sneha Malhotra,HR,Wellness,1658,714,Approved,2023-02-04,2023-02-12,Unpaid,Bank Transfer,Local Clinic
1115,Karan Malhotra,Finance,Wellness,15726,0,Rejected,2024-08-09,2024-08-10,Unpaid,Bank Transfer,Fortis
1116,Pooja Bansal,IT,Transport,8594,8283,Approved,2024-01-10,2024-01-13,Unpaid,Bank Transfer,Max Healthcare
1117,Ankit Sharma,HR,Medical,5427,0,Pending,2023-12-12,2023-12-21,Paid,Payroll,Max Healthcare
1118,Pooja Agarwal,Sales,Wellness,10810,10022,Approved,2024-05-17,2024-05-26,Paid,Payroll,Local Clinic
1119,Rohit Agarwal,Finance,Dental,3286,2429,Approved,2024-04-25,2024-05-02,Paid,Bank Transfer,Wellness Center
1120,Priya Kapoor,Operations,Medical,2397,0,Pending,2023-08-11,2023-08-14,Unpaid,Payroll,Apollo Hospital
1121,Sneha Kapoor,Operations,Wellness,1272,0,Rejected,2024-06-16,2024-06-26,Unpaid,Payroll,Wellness Center
1122,Rahul Khanna,Marketing,Pharmacy,11441,10705,Approved,2024-07-19,2024-07-23,Unpaid,Bank Transfer,Local Clinic
1123,Neha Malhotra,IT,Wellness,684,0,Pending,2023-07-08,2023-07-11,Paid,Payroll,Wellness Center
1124,Priya Kapoor,IT,Transport,3920,3911,Approved,2024-01-09,2024-01-12,Paid,Payroll,Local Clinic
1125,Arjun Malhotra,Operations,Dental,1589,0,Pending,2023-01-14,2023-01-16,Paid,Payroll,Max Healthcare
1126,Karan Khanna,Marketing,Pharmacy,4024,3207,Approved,2023-11-24,2023-11-30,Paid,Payroll,Apollo Hospital
1127,Rohit Malhotra,Sales,Pharmacy,12589,0,Rejected,2024-07-04,2024-07-14,Unpaid,Payroll,Wellness Center
1128,Ankit Jain,Operations,Transport,15099,0,Pending,2023-04-07,2023-04-13,Unpaid,Bank Transfer,Fortis
1129,Arjun Jain,HR,Dental,2280,0,Rejected,2023-08-06,2023-08-16,Unpaid,Bank Transfer,Apollo Hospital
1130,Priya Khanna,Sales,Medical,5225,0,Rejected,2023-12-30,2024-01-01,Paid,Bank Transfer,Apollo Hospital
1131,Pooja Sharma,Operations,Transport,3362,0,Rejected,2023-12-30,2024-01-04,Paid,Payroll,Max Healthcare
1132,Rohit Agarwal,Operations,Medical,748,0,Rejected,2023-03-03,2023-03-10,Paid,Payroll,Fortis
1133,Pooja Kapoor,IT,Transport,1588,0,Pending,2023-10-29,2023-11-04,Unpaid,Bank Transfer,Max Healthcare
1134,Rahul Gupta,Sales,Pharmacy,3947,0,Pending,2024-07-03,2024-07-13,Unpaid,Bank Transfer,Fortis
1135,Ankit Malhotra,HR,Wellness,6299,0,Pending,2023-03-13,2023-03-22,Unpaid,Bank Transfer,Local Clinic
1136,Sneha Verma,Finance,Dental,12856,11924,Approved,2024-03-08,2024-03-15,Paid,Payroll,Fortis
1137,Rohit Gupta,Sales,Dental,18452,18198,Approved,2024-07-15,2024-07-17,Unpaid,Bank Transfer,Max Healthcare
1138,Rahul Mehta,IT,Dental,14506,13591,Approved,2023-08-20,2023-08-24,Paid,Bank Transfer,Local Clinic
1139,Arjun Agarwal,Finance,Pharmacy,653,0,Pending,2023-06-26,2023-06-30,Paid,Bank Transfer,Wellness Center
1140,Priya Mehta,IT,Wellness,2724,2450,Approved,2023-04-15,2023-04-17,Paid,Bank Transfer,Max Healthcare
1141,Neha Bansal,IT,Pharmacy,5180,0,Rejected,2024-03-29,2024-04-04,Paid,Payroll,Wellness Center
1142,Karan Khanna,Marketing,Pharmacy,14936,0,Pending,2023-06-17,2023-06-18,Paid,Payroll,Local Clinic
1143,Amit Mehta,Operations,Wellness,4037,3638,Approved,2023-03-31,2023-04-09,Unpaid,Payroll,Max Healthcare
1144,Priya Khanna,Sales,Dental,14203,13403,Approved,2024-03-11,2024-03-12,Unpaid,Bank Transfer,Fortis
1145,Neha Jain,IT,Medical,608,375,Approved,2023-03-01,2023-03-11,Unpaid,Payroll,Apollo Hospital
1146,Neha Kapoor,Operations,Medical,15646,0,Pending,2023-10-31,2023-11-06,Paid,Bank Transfer,Apollo Hospital
1147,Karan Gupta,Marketing,Medical,18624,18582,Approved,2023-01-20,2023-01-25,Unpaid,Payroll,Apollo Hospital
1148,Rahul Verma,Sales,Pharmacy,7709,0,Pending,2024-01-13,2024-01-16,Unpaid,Bank Transfer,Max Healthcare
1149,Karan Bansal,Sales,Medical,14976,0,Pending,2024-01-01,2024-01-04,Unpaid,Bank Transfer,Apollo Hospital
1150,Sneha Agarwal,Marketing,Dental,4487,4406,Approved,2023-03-10,2023-03-15,Paid,Payroll,Local Clinic
1151,Karan Malhotra,Finance,Transport,8838,0,Pending,2023-09-15,2023-09-25,Paid,Bank Transfer,Local Clinic
1152,Sneha Malhotra,Operations,Pharmacy,15217,0,Pending,2024-01-03,2024-01-07,Paid,Bank Transfer,Apollo Hospital
1153,Ankit Khanna,Operations,Wellness,2398,2254,Approved,2023-12-13,2023-12-14,Paid,Payroll,Max Healthcare
1154,Rahul Mehta,Marketing,Medical,9719,8859,Approved,2023-10-10,2023-10-17,Unpaid,Bank Transfer,Fortis
1155,Priya Mehta,IT,Dental,13184,12305,Approved,2024-07-01,2024-07-10,Unpaid,Payroll,Apollo Hospital
1156,Arjun Agarwal,Sales,Dental,1915,0,Pending,2023-08-13,2023-08-14,Paid,Bank Transfer,Local Clinic
1157,Rahul Bansal,HR,Transport,7452,0,Pending,2024-08-02,2024-08-05,Unpaid,Payroll,Max Healthcare
1158,Sneha Sharma,Finance,Medical,1512,1096,Approved,2023-09-05,2023-09-12,Unpaid,Payroll,Local Clinic
1159,Rahul Malhotra,IT,Pharmacy,13747,0,Rejected,2024-04-24,2024-04-29,Paid,Bank Transfer,Max Healthcare
1160,Pooja Mehta,IT,Wellness,4835,0,Pending,2023-01-17,2023-01-23,Paid,Payroll,Fortis
1161,Arjun Sharma,HR,Pharmacy,8652,8071,Approved,2023-06-07,2023-06-15,Unpaid,Bank Transfer,Fortis
1162,Karan Agarwal,Operations,Wellness,9247,8515,Approved,2023-12-03,2023-12-04,Unpaid,Bank Transfer,Wellness Center
1163,Sneha Khanna,Sales,Wellness,888,0,Rejected,2023-07-10,2023-07-15,Paid,Payroll,Fortis
1164,Rohit Malhotra,HR,Pharmacy,5546,0,Pending,2023-05-26,2023-05-31,Unpaid,Bank Transfer,Wellness Center
1165,Neha Agarwal,IT,Wellness,10390,9711,Approved,2023-08-07,2023-08-16,Paid,Payroll,Apollo Hospital
1166,Ankit Agarwal,Finance,Pharmacy,10793,0,Pending,2024-05-13,2024-05-18,Paid,Bank Transfer,Fortis
1167,Sneha Bansal,Finance,Transport,9998,9759,Approved,2023-10-09,2023-10-19,Unpaid,Bank Transfer,Wellness Center
1168,Pooja Malhotra,HR,Dental,18953,18826,Approved,2023-09-05,2023-09-12,Unpaid,Bank Transfer,Max Healthcare
1169,Rohit Agarwal,Finance,Pharmacy,1559,0,Rejected,2023-10-09,2023-10-11,Paid,Payroll,Apollo Hospital
1170,Karan Bansal,Marketing,Medical,4288,3508,Approved,2024-02-17,2024-02-26,Unpaid,Bank Transfer,Local Clinic
1171,Arjun Mehta,Sales,Medical,4431,0,Pending,2024-03-28,2024-04-02,Paid,Bank Transfer,Local Clinic
1172,Rahul Agarwal,Marketing,Medical,10316,0,Rejected,2023-06-03,2023-06-09,Paid,Payroll,Max Healthcare
1173,Sneha Gupta,Finance,Medical,7128,0,Pending,2024-04-28,2024-05-02,Unpaid,Payroll,Fortis
1174,Ankit Mehta,Finance,Medical,18613,0,Pending,2023-06-09,2023-06-13,Paid,Payroll,Apollo Hospital
1175,Amit Mehta,Operations,Medical,5346,5078,Approved,2023-04-21,2023-04-24,Paid,Bank Transfer,Apollo Hospital
1176,Rahul Mehta,Sales,Medical,2321,2181,Approved,2024-05-31,2024-06-03,Paid,Bank Transfer,Max Healthcare
1177,Arjun Khanna,Operations,Transport,7974,7573,Approved,2024-05-12,2024-05-18,Unpaid,Payroll,Wellness Center
1178,Arjun Agarwal,IT,Transport,10433,0,Pending,2023-06-08,2023-06-09,Paid,Payroll,Fortis
1179,Priya Khanna,Operations,Medical,9155,0,Rejected,2024-03-17,2024-03-18,Paid,Bank Transfer,Local Clinic
1180,Neha Kapoor,Sales,Transport,7728,6884,Approved,2024-07-16,2024-07-24,Unpaid,Payroll,Apollo Hospital
1181,Rohit Verma,IT,Pharmacy,12157,0,Pending,2023-08-12,2023-08-15,Unpaid,Payroll,Local Clinic
1182,Rohit Malhotra,IT,Dental,6960,0,Rejected,2023-06-18,2023-06-26,Paid,Bank Transfer,Wellness Center
1183,Priya Gupta,Finance,Transport,15471,0,Pending,2024-04-19,2024-04-27,Paid,Bank Transfer,Max Healthcare
1184,Sneha Agarwal,IT,Pharmacy,17662,0,Rejected,2023-01-04,2023-01-14,Unpaid,Payroll,Local Clinic
1185,Karan Kapoor,IT,Medical,10451,0,Rejected,2024-04-04,2024-04-07,Unpaid,Bank Transfer,Apollo Hospital
1186,Pooja Jain,IT,Medical,6933,0,Pending,2024-02-13,2024-02-22,Unpaid,Bank Transfer,Apollo Hospital
1187,Amit Mehta,Finance,Pharmacy,12617,12522,Approved,2023-09-10,2023-09-16,Paid,Bank Transfer,Fortis
1188,Neha Kapoor,Marketing,Wellness,7608,0,Pending,2024-07-16,2024-07-19,Paid,Payroll,Fortis
1189,Priya Sharma,Operations,Pharmacy,17847,0,Rejected,2023-08-18,2023-08-27,Paid,Bank Transfer,Local Clinic
1190,Rahul Kapoor,Finance,Wellness,757,0,Pending,2023-05-26,2023-06-04,Paid,Bank Transfer,Apollo Hospital
1191,Sneha Gupta,Marketing,Dental,6742,5771,Approved,2023-03-22,2023-03-25,Paid,Bank Transfer,Fortis
1192,Rahul Malhotra,HR,Pharmacy,14868,14142,Approved,2023-11-10,2023-11-11,Paid,Bank Transfer,Fortis
1193,Amit Khanna,Finance,Wellness,3712,0,Rejected,2023-05-18,2023-05-23,Paid,Payroll,Max Healthcare
1194,Amit Sharma,IT,Medical,6371,0,Rejected,2023-07-18,2023-07-23,Paid,Payroll,Apollo Hospital
1195,Neha Verma,Sales,Pharmacy,18721,0,Pending,2023-05-12,2023-05-17,Paid,Payroll,Fortis
1196,Rahul Sharma,IT,Wellness,8788,0,Pending,2023-05-16,2023-05-23,Paid,Bank Transfer,Apollo Hospital
1197,Pooja Jain,Finance,Medical,16670,15885,Approved,2023-08-13,2023-08-23,Paid,Bank Transfer,Apollo Hospital
1198,Arjun Verma,HR,Pharmacy,16304,0,Pending,2024-08-22,2024-08-28,Unpaid,Bank Transfer,Fortis
1199,Pooja Malhotra,IT,Dental,906,609,Approved,2023-05-29,2023-06-06,Unpaid,Payroll,Max Healthcare
1200,Arjun Malhotra,Operations,Medical,5535,5494,Approved,2023-12-24,2024-01-03,Unpaid,Bank Transfer,Wellness Center
1201,Karan Gupta,Sales,Transport,6610,0,Pending,2023-03-17,2023-03-19,Unpaid,Bank Transfer,Wellness Center
1202,Ankit Kapoor,Finance,Pharmacy,16297,0,Rejected,2024-03-16,2024-03-17,Paid,Bank Transfer,Local Clinic
1203,Sneha Verma,IT,Pharmacy,9467,8927,Approved,2023-08-23,2023-08-31,Paid,Bank Transfer,Max Healthcare
1204,Neha Bansal,Finance,Transport,19252,19069,Approved,2023-06-26,2023-06-29,Paid,Payroll,Apollo Hospital
1205,Sneha Khanna,Operations,Transport,963,0,Rejected,2023-03-24,2023-04-01,Unpaid,Payroll,Max Healthcare
1206,Priya Kapoor,Finance,Transport,10057,9876,Approved,2024-02-12,2024-02-15,Unpaid,Bank Transfer,Max Healthcare
1207,Sneha Jain,HR,Pharmacy,16769,0,Rejected,2024-04-20,2024-04-25,Paid,Bank Transfer,Fortis
1208,Ankit Jain,Sales,Pharmacy,2002,0,Rejected,2024-01-07,2024-01-10,Unpaid,Bank Transfer,Fortis
1209,Neha Kapoor,Marketing,Medical,1062,764,Approved,2023-01-27,2023-01-28,Paid,Payroll,Local Clinic
1210,Sneha Verma,HR,Pharmacy,8019,7720,Approved,2023-01-04,2023-01-08,Unpaid,Payroll,Max Healthcare
1211,Karan Agarwal,HR,Dental,11980,0,Rejected,2024-01-17,2024-01-23,Paid,Payroll,Local Clinic
1212,Arjun Agarwal,Finance,Wellness,5312,0,Pending,2023-06-06,2023-06-16,Unpaid,Payroll,Apollo Hospital
1213,Rahul Sharma,HR,Wellness,1800,0,Pending,2024-03-06,2024-03-11,Unpaid,Bank Transfer,Wellness Center
1214,Karan Sharma,Operations,Pharmacy,12086,0,Pending,2023-12-06,2023-12-16,Paid,Bank Transfer,Local Clinic
1215,Karan Mehta,Sales,Transport,3060,0,Rejected,2023-03-07,2023-03-17,Paid,Payroll,Fortis
1216,Ankit Kapoor,IT,Pharmacy,4716,0,Rejected,2024-01-08,2024-01-11,Unpaid,Payroll,Wellness Center
1217,Sneha Kapoor,Finance,Transport,1681,910,Approved,2024-04-25,2024-04-27,Paid,Payroll,Fortis
1218,Arjun Verma,Operations,Transport,12878,12406,Approved,2023-06-03,2023-06-04,Unpaid,Payroll,Wellness Center
1219,Amit Sharma,Sales,Dental,10037,0,Pending,2024-08-02,2024-08-06,Paid,Bank Transfer,Wellness Center
